time=24770, port=1, receive=0

time=24780, port=1, receive=0

time=24790, port=1, receive=0

time=24800, port=1, receive=0

time=24810, port=1, receive=1

time=24820, port=1, receive=0

time=24830, port=1, receive=null, cause=data_ended

time=54480, port=1, receive=1

time=54490, port=1, receive=1

time=54500, port=1, receive=1

time=54510, port=1, receive=1

time=54520, port=1, receive=1

time=54530, port=1, receive=1

time=54540, port=1, receive=1

time=54550, port=1, receive=1

time=54560, port=1, receive=1

time=54570, port=1, receive=1

time=54580, port=1, receive=1

time=54590, port=1, receive=1

time=54600, port=1, receive=1

time=54610, port=1, receive=1

time=54620, port=1, receive=1

time=54630, port=1, receive=1

time=54640, port=1, receive=0

time=54650, port=1, receive=0

time=54660, port=1, receive=0

time=54670, port=1, receive=0

time=54680, port=1, receive=0

time=54690, port=1, receive=0

time=54700, port=1, receive=0

time=54710, port=1, receive=0

time=54720, port=1, receive=0

time=54730, port=1, receive=0

time=54740, port=1, receive=0

time=54750, port=1, receive=1

time=54760, port=1, receive=0

time=54770, port=1, receive=0

time=54780, port=1, receive=0

time=54790, port=1, receive=1

time=54800, port=1, receive=0

time=54810, port=1, receive=0

time=54820, port=1, receive=0

time=54830, port=1, receive=0

time=54840, port=1, receive=1

time=54850, port=1, receive=0

time=54860, port=1, receive=0

time=54870, port=1, receive=0

time=54880, port=1, receive=0

time=54890, port=1, receive=0

time=54900, port=1, receive=0

time=54910, port=1, receive=0

time=54920, port=1, receive=0

time=54930, port=1, receive=0

time=54940, port=1, receive=1

time=54950, port=1, receive=0

time=54960, port=1, receive=0

time=54970, port=1, receive=0

time=54980, port=1, receive=0

time=54990, port=1, receive=0

time=55000, port=1, receive=1

time=55010, port=1, receive=0

time=55020, port=1, receive=1

time=55030, port=1, receive=0

time=55040, port=1, receive=0

time=55050, port=1, receive=0

time=55060, port=1, receive=0

time=55070, port=1, receive=1

time=55080, port=1, receive=1

time=55090, port=1, receive=0

time=55100, port=1, receive=1

time=55110, port=1, receive=1

time=55120, port=1, receive=0

time=55130, port=1, receive=0

time=55140, port=1, receive=0

time=55150, port=1, receive=1

time=55160, port=1, receive=1

time=55170, port=1, receive=0

time=55180, port=1, receive=0

time=55190, port=1, receive=1

time=55200, port=1, receive=0

time=55210, port=1, receive=0

time=55220, port=1, receive=0

time=55230, port=1, receive=1

time=55240, port=1, receive=1

time=55250, port=1, receive=0

time=55260, port=1, receive=1

time=55270, port=1, receive=0

time=55280, port=1, receive=0

time=55290, port=1, receive=0

time=55300, port=1, receive=0

time=55310, port=1, receive=0

time=55320, port=1, receive=1

time=55330, port=1, receive=0

time=55340, port=1, receive=1

time=55350, port=1, receive=0

time=55360, port=1, receive=0

time=55370, port=1, receive=0

time=55380, port=1, receive=0

time=55390, port=1, receive=0

time=55400, port=1, receive=0

time=55410, port=1, receive=1

time=55420, port=1, receive=1

time=55430, port=1, receive=0

time=55440, port=1, receive=0

time=55450, port=1, receive=1

time=55460, port=1, receive=1

time=55470, port=1, receive=1

time=55480, port=1, receive=1

time=55490, port=1, receive=0

time=55500, port=1, receive=1

time=55510, port=1, receive=0

time=55520, port=1, receive=0

time=55530, port=1, receive=0

